Gender,Umur,BB,Status
1,52,21.7,Gizi Lebih
1,53,11.4,Gizi Buruk
1,53,13.4,Gizi Kurang
1,53,21.8,Gizi Baik
1,53,21.9,Gizi Lebih
1,54,11.5,Gizi Buruk
1,54,13.6,Gizi Kurang
1,54,22,Gizi Baik
1,54,22.1,Gizi Lebih
1,55,11.7,Gizi Buruk
1,55,13.7,Gizi Kurang
1,55,22.2,Gizi Baik
1,55,22.3,Gizi Lebih
1,56,11.8,Gizi Buruk
1,56,13.8,Gizi Kurang
1,56,22.5,Gizi Baik
1,56,22.6,Gizi Lebih
1,57,11.9,Gizi Buruk
1,57,14,Gizi Kurang
1,57,22.7,Gizi Baik
1,57,22.8,Gizi Lebih
1,58,12,Gizi Buruk
1,58,14.1,Gizi Kurang
1,58,22.9,Gizi Baik
1,58,23,Gizi Lebih
1,59,12.1,Gizi Buruk
1,59,14.2,Gizi Kurang
1,59,23.2,Gizi Baik
1,59,23.3,Gizi Lebih
